subject,subjID,block,code,target_syll,sequence_file,tgt_word,tgt_pos,detect,rt
1,a0604,5,9,se,cue_linfade_exp_seq_A_08.wav,2,3,1,382
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,10,se,cue_linfade_exp_seq_A_08.wav,2,3,1,667.799999999988
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,11,se,cue_linfade_exp_seq_A_08.wav,2,3,1,311.700000000012
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,12,se,cue_linfade_exp_seq_A_08.wav,2,3,1,491.799999999988
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,13,se,cue_linfade_exp_seq_A_08.wav,2,3,1,417.699999999953
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,14,se,cue_linfade_exp_seq_A_08.wav,2,3,1,419.5
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,2,
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,2,
1,a0604,5,15,se,cue_linfade_exp_seq_A_08.wav,2,3,1,817.299999999988
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,16,se,cue_linfade_exp_seq_A_08.wav,2,3,1,863.299999999988
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,17,se,cue_linfade_exp_seq_A_08.wav,2,3,1,619.200000000012
1,a0604,5,0,se,cue_linfade_exp_seq_A_08.wav,2,3,,
1,a0604,5,18,se,cue_linfade_exp_seq_A_08.wav,2,3,0,
1,a0604,6,1,za,cue_linfade_exp_seq_A_19.wav,4,1,1,660.799999999988
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,2,za,cue_linfade_exp_seq_A_19.wav,4,1,1,760.799999999988
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,3,za,cue_linfade_exp_seq_A_19.wav,4,1,1,606.799999999988
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,4,za,cue_linfade_exp_seq_A_19.wav,4,1,1,852.700000000012
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,5,za,cue_linfade_exp_seq_A_19.wav,4,1,1,488.599999999977
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,6,za,cue_linfade_exp_seq_A_19.wav,4,1,1,808.599999999977
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,7,za,cue_linfade_exp_seq_A_19.wav,4,1,1,598.299999999988
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,8,za,cue_linfade_exp_seq_A_19.wav,4,1,1,572.199999999953
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,9,za,cue_linfade_exp_seq_A_19.wav,4,1,1,700.200000000012
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,2,
1,a0604,6,10,za,cue_linfade_exp_seq_A_19.wav,4,1,0,
1,a0604,6,11,za,cue_linfade_exp_seq_A_19.wav,4,1,1,630
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,12,za,cue_linfade_exp_seq_A_19.wav,4,1,1,545.900000000023
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,13,za,cue_linfade_exp_seq_A_19.wav,4,1,1,509.900000000023
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,14,za,cue_linfade_exp_seq_A_19.wav,4,1,1,615.799999999988
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,2,
1,a0604,6,15,za,cue_linfade_exp_seq_A_19.wav,4,1,1,685.700000000012
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,16,za,cue_linfade_exp_seq_A_19.wav,4,1,1,647.599999999977
1,a0604,6,0,za,cue_linfade_exp_seq_A_19.wav,4,1,,
1,a0604,6,17,za,cue_linfade_exp_seq_A_19.wav,4,1,0,
1,a0604,6,18,za,cue_linfade_exp_seq_A_19.wav,4,1,0,
1,a0604,7,1,la,cue_linfade_exp_seq_A_11.wav,3,3,0,
1,a0604,7,2,la,cue_linfade_exp_seq_A_11.wav,3,3,1,469.099999999977
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,3,la,cue_linfade_exp_seq_A_11.wav,3,3,1,713
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,4,la,cue_linfade_exp_seq_A_11.wav,3,3,1,405.099999999977
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,5,la,cue_linfade_exp_seq_A_11.wav,3,3,1,562.899999999965
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,6,la,cue_linfade_exp_seq_A_11.wav,3,3,1,738.700000000012
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,7,la,cue_linfade_exp_seq_A_11.wav,3,3,0,
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,2,
1,a0604,7,8,la,cue_linfade_exp_seq_A_11.wav,3,3,1,1158.59999999998
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,9,la,cue_linfade_exp_seq_A_11.wav,3,3,1,618.400000000023
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,10,la,cue_linfade_exp_seq_A_11.wav,3,3,0,
1,a0604,7,11,la,cue_linfade_exp_seq_A_11.wav,3,3,1,496.299999999988
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,12,la,cue_linfade_exp_seq_A_11.wav,3,3,1,652.299999999988
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,13,la,cue_linfade_exp_seq_A_11.wav,3,3,1,584.200000000012
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,14,la,cue_linfade_exp_seq_A_11.wav,3,3,0,
1,a0604,7,15,la,cue_linfade_exp_seq_A_11.wav,3,3,0,
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,2,
1,a0604,7,16,la,cue_linfade_exp_seq_A_11.wav,3,3,1,648
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,17,la,cue_linfade_exp_seq_A_11.wav,3,3,1,625.799999999988
1,a0604,7,0,la,cue_linfade_exp_seq_A_11.wav,3,3,,
1,a0604,7,18,la,cue_linfade_exp_seq_A_11.wav,3,3,0,
1,a0604,8,1,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,527.599999999977
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,2,ga,cue_linfade_exp_seq_A_13.wav,1,2,0,
1,a0604,8,3,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,785.399999999965
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,4,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,923.199999999953
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,5,ga,cue_linfade_exp_seq_A_13.wav,1,2,0,
1,a0604,8,6,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,845
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,7,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,341.099999999977
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,8,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,513
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,9,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,416.900000000023
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,2,
1,a0604,8,10,ga,cue_linfade_exp_seq_A_13.wav,1,2,0,
1,a0604,8,11,ga,cue_linfade_exp_seq_A_13.wav,1,2,0,
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,2,
1,a0604,8,12,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,386.599999999977
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,13,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,466.5
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,14,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,950.300000000047
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,15,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,702.29999999993
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,16,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,452.29999999993
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,17,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,336.099999999977
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,8,18,ga,cue_linfade_exp_seq_A_13.wav,1,2,1,528.199999999953
1,a0604,8,0,ga,cue_linfade_exp_seq_A_13.wav,1,2,,
1,a0604,9,1,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,2,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,3,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,4,za,cue_linfade_exp_seq_A_21.wav,4,1,1,879.599999999977
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,,
1,a0604,9,5,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,6,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,7,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,8,za,cue_linfade_exp_seq_A_21.wav,4,1,1,761.29999999993
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,,
1,a0604,9,9,za,cue_linfade_exp_seq_A_21.wav,4,1,1,343.199999999953
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,10,za,cue_linfade_exp_seq_A_21.wav,4,1,1,691.099999999977
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,,
1,a0604,9,11,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,12,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,13,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,14,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,15,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,16,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,17,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,9,0,za,cue_linfade_exp_seq_A_21.wav,4,1,2,
1,a0604,9,18,za,cue_linfade_exp_seq_A_21.wav,4,1,0,
1,a0604,10,1,nu,cue_linfade_exp_seq_A_07.wav,1,1,1,502.20000000007
1,a0604,10,0,nu,cue_linfade_exp_seq_A_07.wav,1,1,,
1,a0604,10,2,nu,cue_linfade_exp_seq_A_07.wav,1,1,1,436.099999999977
1,a0604,10,0,nu,cue_linfade_exp_seq_A_07.wav,1,1,,
