subject,subj_id,session,block,prop_word_faster,pwf_ord1,pwf_ord2,nwf_ord1,nwf_ord2
6,c0509,1,1,0.666666666666667,0.166666666666667,0.166666666666667,4,4
6,c0509,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
6,c0509,1,3,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
6,c0509,1,4,0.75,0.208333333333333,0.166666666666667,5,4
6,c0509,2,1,0.75,0.166666666666667,0.208333333333333,4,5
6,c0509,2,2,0.666666666666667,0.208333333333333,0.125,5,3
6,c0509,2,3,0.583333333333333,0.125,0.166666666666667,3,4
6,c0509,2,4,0.666666666666667,0.208333333333333,0.125,5,3
7,d2006,1,1,0.666666666666667,0.208333333333333,0.125,5,3
7,d2006,1,2,0.583333333333333,0.125,0.166666666666667,3,4
7,d2006,1,3,0.5,0.125,0.125,3,3
7,d2006,1,4,0.583333333333333,0.208333333333333,0.0833333333333333,5,2
7,d2006,2,1,0.5,0.208333333333333,0.0416666666666667,5,1
7,d2006,2,2,0.666666666666667,0.208333333333333,0.125,5,3
7,d2006,2,3,0.583333333333333,0.166666666666667,0.125,4,3
7,d2006,2,4,0.583333333333333,0.166666666666667,0.125,4,3
8,f1001,1,1,0.416666666666667,0.0833333333333333,0.125,2,3
8,f1001,1,2,0.25,0.0833333333333333,0.0416666666666667,2,1
8,f1001,1,3,0.583333333333333,0.125,0.166666666666667,3,4
8,f1001,1,4,0.416666666666667,0.0833333333333333,0.125,2,3
8,f1001,2,1,0.583333333333333,0.166666666666667,0.125,4,3
8,f1001,2,2,0.75,0.166666666666667,0.208333333333333,4,5
8,f1001,2,3,0.916666666666667,0.208333333333333,0.25,5,6
8,f1001,2,4,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
9,f1903,1,1,0.5,0.125,0.125,3,3
9,f1903,1,2,0.583333333333333,0.166666666666667,0.125,4,3
9,f1903,1,3,0.166666666666667,0.0416666666666667,0.0416666666666667,1,1
9,f1903,1,4,0.666666666666667,0.208333333333333,0.125,5,3
9,f1903,2,1,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
9,f1903,2,2,0.5,0.125,0.125,3,3
9,f1903,2,3,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
9,f1903,2,4,0.416666666666667,0.125,0.0833333333333333,3,2
10,g0609,1,1,0.666666666666667,0.208333333333333,0.125,5,3
10,g0609,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
10,g0609,1,3,0.416666666666667,0.125,0.0833333333333333,3,2
10,g0609,1,4,0.416666666666667,0.125,0.0833333333333333,3,2
10,g0609,2,1,0.25,0.0833333333333333,0.0416666666666667,2,1
10,g0609,2,2,0.583333333333333,0.166666666666667,0.125,4,3
10,g0609,2,3,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
10,g0609,2,4,0.75,0.208333333333333,0.166666666666667,5,4
11,g1905,1,1,0.25,0.0833333333333333,0.0416666666666667,2,1
11,g1905,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
11,g1905,1,3,0.583333333333333,0.166666666666667,0.125,4,3
11,g1905,1,4,0.416666666666667,0.125,0.0833333333333333,3,2
11,g1905,2,1,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
11,g1905,2,2,0.416666666666667,0.0833333333333333,0.125,2,3
11,g1905,2,3,0.666666666666667,0.166666666666667,0.166666666666667,4,4
11,g1905,2,4,0.166666666666667,0.0833333333333333,0,2,0
12,g2501,1,1,0.583333333333333,0.208333333333333,0.0833333333333333,5,2
12,g2501,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
12,g2501,1,3,0.5,0.166666666666667,0.0833333333333333,4,2
12,g2501,1,4,0.666666666666667,0.166666666666667,0.166666666666667,4,4
12,g2501,2,1,0.416666666666667,0.125,0.0833333333333333,3,2
12,g2501,2,2,0.5,0.125,0.125,3,3
12,g2501,2,3,0.416666666666667,0.125,0.0833333333333333,3,2
12,g2501,2,4,0.5,0.166666666666667,0.0833333333333333,4,2
13,h0207,1,1,0.583333333333333,0.125,0.166666666666667,3,4
13,h0207,1,2,0.583333333333333,0.166666666666667,0.125,4,3
13,h0207,1,3,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
13,h0207,1,4,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
13,h0207,2,1,0,0,0,0,0
13,h0207,2,2,0.416666666666667,0.0833333333333333,0.125,2,3
13,h0207,2,3,0.5,0.166666666666667,0.0833333333333333,4,2
13,h0207,2,4,0.583333333333333,0.125,0.166666666666667,3,4
14,h0905,1,1,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
14,h0905,1,2,0.416666666666667,0.166666666666667,0.0416666666666667,4,1
14,h0905,1,3,0.5,0.166666666666667,0.0833333333333333,4,2
14,h0905,1,4,0.583333333333333,0.166666666666667,0.125,4,3
14,h0905,2,1,0.25,0.0833333333333333,0.0416666666666667,2,1
14,h0905,2,2,0.5,0.166666666666667,0.0833333333333333,4,2
14,h0905,2,3,0.333333333333333,0.125,0.0416666666666667,3,1
