subject,test,n.with,n.accr,mean.with,mean.accr,score
15,transitional probability,6,12,-0.10205125202729681,-0.08014501645480424,1.2733324733278462
15,word identity,12,36,-0.024291863420265812,-0.006099780937610327,3.982415707830728
15,duplets,8,4,-0.052356184578151124,0.03183677889550481,-1.6445188990379784
16,ordinal position,18,12,-0.15750171621581088,0.007949455545181106,-19.812893514611464
16,transitional probability,6,12,-0.013890067173067714,-0.22930754073718249,0.060573965986524675
16,word identity,12,36,0.007949455545181106,0.2062032433061201,0.038551554368035326
16,duplets,8,4,0.33558069619810804,-0.6473130257606727,-0.5184210464539305
17,ordinal position,18,12,-0.0026314778821826933,0.07977397646145283,-0.03298667057739357
17,transitional probability,6,12,-0.14075347813111008,0.06642952224228099,-2.1188392356301406
17,word identity,12,36,0.07977397646145283,-0.0093491725710486,-8.532731196821347
17,duplets,8,4,-0.020533066474349257,0.280388062333057,-0.07323088687691416
18,ordinal position,18,12,0.06879992401154639,-0.04416642088363244,-1.5577427972444748
18,transitional probability,6,12,1.0408289288534467,-0.41721457840940374,-2.49470891650412
18,word identity,12,36,-0.04416642088363244,0.021502535327250726,-2.0540099207584688
18,duplets,8,4,0.055295480637505556,-0.24309022392590846,-0.22746896088408344
19,ordinal position,18,12,-0.09976231492061965,-0.03510765494047883,2.841611468773853
19,transitional probability,6,12,-0.08006188081037557,-0.10961253197574168,0.7304080962940811
19,word identity,12,36,-0.03510765494047883,-0.0032247880475815604,10.88681005463535
19,duplets,8,4,-0.00446958930115155,-0.09638378621913338,0.046372833818643676
20,ordinal position,18,12,0.09406743143323057,0.2608970567390106,0.3605538238299534
20,transitional probability,6,12,0.08436303838268262,0.09891962795850455,0.8528442749306718
20,word identity,12,36,0.2608970567390106,0.03905413820379924,6.680394671047439
20,duplets,8,4,0.2465523896196997,0.2895863909776324,0.851394945692539
21,ordinal position,15,10,-0.17097273577313152,-0.044726561170135286,3.8226219789795293
21,transitional probability,3,12,0.4416141574700793,-0.3241194590839342,-1.362504302327984
21,word identity,10,30,-0.044726561170135286,0.01578987740806101,-2.8326097799405074
21,duplets,7,3,0.042212600963345476,-0.24758460614825706,-0.17049768004585872
22,ordinal position,18,12,-0.3035482315073964,0.3930047895772413,-0.7723779443856802
22,transitional probability,6,12,-0.44188954844729367,-0.23437757303744775,1.88537470851228
22,word identity,12,36,0.3930047895772413,-0.18076050234938554,-2.1741740284479643
22,duplets,8,4,0.42690875445556686,0.3251968598205901,1.3127702238302388
23,ordinal position,18,12,0.027902362832999766,0.13144190795695973,0.212279046056881
23,transitional probability,6,12,-0.15419092612539456,0.11894900731219693,-1.2962775361437082
23,word identity,12,36,0.13144190795695973,0.036744121819711754,3.5772227351599515
23,duplets,8,4,0.1593860386459042,0.0755536465790708,2.1095743999477046
24,ordinal position,18,12,0.005867414327613685,0.05642542334267674,0.10398529563491873
24,transitional probability,6,12,-0.033245188897282625,0.02542371594006184,-1.3076447587622693
24,word identity,12,36,0.05642542334267674,-3.2707727090754705e-4,-172.51404595040225
24,duplets,8,4,0.060680667995360205,0.047914934037309787,1.2664249511041832
25,ordinal position,18,12,-0.034898803397246755,-0.1684790217312581,0.20714034921756638
25,transitional probability,6,12,0.10908262372842427,-0.10688951696008227,-1.0205175103294837
