"subject","test","n.with","n.accr","mean.with","mean.accr","score"
"h7583","word identity",12,36,-0.0466181711316595,-0.0248488179528804,1.87607198137389
"h7583","duplets",8,4,0.0126371070745165,-0.165128727544012,-0.0765288224676009
"s5965","ordinal position",15,10,0.0431692319070215,0.40490391975838,0.106615989128438
"s5965","transitional probability",6,9,0.0489895870252274,0.0392889951615508,1.24690353682473
"s5965","word identity",10,30,0.40490391975838,0.11540854397131,3.50843972053783
"s5965","duplets",7,3,0.303618046836204,0.641237623243458,0.473487574388519
"m3012","ordinal position",18,12,0.0258472167222039,0.0532127950523467,0.485733115442957
"m3012","transitional probability",6,12,0.0629529764358931,0.00729433686535933,8.63039061643227
"m3012","word identity",12,36,0.0532127950523467,0.0535430483606826,0.993832003995902
"m3012","duplets",8,4,0.0846545732393959,-0.00967076132175175,-8.75366172557568
"m6318","ordinal position",18,12,-0.11376411246572,0.0729606627315609,-1.55925272888878
"m6318","transitional probability",6,12,0.281875059588347,-0.311583698492754,-0.904652781746548
"m6318","word identity",12,36,0.0729606627315609,0.0854293038310422,0.854047258489415
"m6318","duplets",8,4,0.0147689612607479,0.189344065673187,0.0780006556225507
"v7564","ordinal position",15,10,-0.0173897091287502,-0.134955548424134,0.128855088448074
"v7564","transitional probability",6,9,-0.17754191159949,0.0893784258517432,-1.986406785615
"v7564","word identity",10,30,-0.134955548424134,-0.0787612857490502,1.71347568974598
"v7564","duplets",7,3,-0.124905844876768,-0.158404856701321,0.788522823591725
"a5168","ordinal position",18,12,-0.0336421171963205,0.0954990378476623,-0.352277027649069
"a5168","transitional probability",6,12,0.0950060877366376,-0.0979662196627995,-0.96978415686192
"a5168","word identity",12,36,0.0954990378476623,-0.0392717452669107,-2.43174926906361
"a5168","duplets",8,4,0.0587332506594258,0.169030612224135,0.347471087553924
"t9318","ordinal position",18,12,-0.185070914660384,-0.281638666904995,0.657121824549804
"t9318","transitional probability",6,12,-0.0911432177868738,-0.23203476309714,0.39279983986157
"t9318","word identity",12,36,-0.281638666904995,-0.303211456246608,0.928852327650616
"t9318","duplets",8,4,-0.560133633396116,0.275351266077247,-2.03425116352643
"j4050","ordinal position",18,12,-0.0130516772675976,0.0751131020313051,-0.173760328286775
"j4050","transitional probability",6,12,-0.0748465005717385,0.0178457343844728,-4.19408352490447
"j4050","word identity",12,36,0.0751131020313051,0.117804456201698,0.637608325297142
"j4050","duplets",8,4,-0.0706180453825004,0.366575396858916,-0.192642621375049
"d2018","ordinal position",18,12,-0.00296913109861685,0.0670120119017028,-0.0443074459989673
"d2018","transitional probability",6,12,-0.0957474497895596,0.0434200282468545,-2.20514480656737
"d2018","word identity",12,36,0.0670120119017028,-0.00647239158875391,-10.3535163135277
"d2018","duplets",8,4,0.0413368435976959,0.118362348509717,0.349239805716616
"o0345","ordinal position",18,12,0.205099868446575,-0.0177379287342929,-11.5627856847826
"o0345","transitional probability",6,12,0.321351675033004,0.14697396515336,2.18645305444192
"o0345","word identity",12,36,-0.0177379287342929,-0.0447480158525622,0.396395871332856
"o0345","duplets",8,4,-0.123212261800166,0.193210737397454,-0.637709184592087
