subject,test,n.with,n.accr,mean.with,mean.accr,score
29,ordinal position,15,10,-0.03143201973916373,0.09220188980202806,-0.3409042895612358
29,transitional probability,6,9,-0.03799286316733708,-0.0270581241203815,1.4041203668926556
29,word identity,10,29,0.09220188980202806,-0.022283383942804106,-4.137696951176148
29,duplets,6,4,7.316099644763367e-4,0.22940730955835567,0.003189131008444318
30,ordinal position,18,12,-0.01514831788365897,-0.09286046774620546,0.16312988994477656
30,transitional probability,6,12,-0.13682287752236966,0.045688961935696375,-2.9946593602834994
30,word identity,12,36,-0.09286046774620546,0.008236462015621495,-11.274315060287268
30,duplets,8,4,-0.0013207000401347412,-0.2759400031583469,0.004786185493289509
31,ordinal position,18,12,-0.12463254467784365,-0.005667971318017628,21.98891590747038
31,transitional probability,6,12,-0.09570498623513356,-0.1390963238991987,0.6880482787200739
31,word identity,12,36,-0.005667971318017628,-0.032945338860613675,0.17204167612292243
31,duplets,8,4,0.07761870404607367,-0.1722413220462002,-0.45063927241137897
32,ordinal position,18,12,0.054147373072151936,-0.03122537643058176,-1.7340823157898153
32,transitional probability,6,12,0.13667119930029842,0.012885459958078693,10.606621707330733
32,word identity,12,36,-0.03122537643058176,-0.03313990679799668,0.9422288548038206
32,duplets,8,4,-0.03637276664217512,-0.020930596007395046,1.7377797855982773
33,ordinal position,18,12,-0.11050848151883493,-0.12144772861946891,0.9099262931881598
33,transitional probability,6,12,-0.1874797309981723,-0.07202285677916623,2.6030587980287367
33,word identity,12,36,-0.12144772861946891,0.058472278309888576,-2.0770137940551257
33,duplets,8,4,0.023608783863909473,-0.4115607535862257,-0.05736403108942996
