subject,test,n.with,n.accr,mean.with,mean.accr,median.with,median.accr,mean.sub,median.sub
7,triplet position,18,48,-0.028824012659989344,-0.012329568753457322,-0.10522983129091507,-0.0357349803918049,-0.01649444390653202,-0.06949485089911017
7,transitional probability,28,6,-0.00445947111320102,-0.13782156373250504,-0.06859951720474283,-0.18324034402507205,0.133362092619304,0.11464082682032922
7,word grouping,12,36,0.017835075742967152,-0.02238445025226548,0.058715133747311354,-0.04517136971011367,0.04021952599523263,0.10388650345742503
7,duplet pairing,8,12,0.08348299320840577,0.1604346132403885,0.19608731842257804,0.11719437956160758,-0.07695162003198272,0.07889293886097046
8,triplet position,15,40,0.09616928015975018,-0.0716772274340271,-0.025653630910476868,0.13237849697624593,0.16784650759377728,-0.1580321278867228
8,transitional probability,21,6,0.03752890025045824,0.3735147439017673,0.13041352730253059,0.18124779458000012,-0.33598584365130907,-0.050834267277469536
8,word grouping,10,30,-0.14056331003539027,-0.048715199900239384,0.25920838016049363,0.1221559100903265,-0.09184811013515089,0.13705247007016713
8,duplet pairing,6,12,-0.22149167058779318,-0.14393150347387826,0.04698089818333441,0.07871708898437171,-0.07756016711391492,-0.0317361908010373
9,triplet position,18,48,-0.006475581608214488,0.0438475114887326,-0.07579820665896032,0.02118360240915375,-0.05032309309694709,-0.09698180906811407
9,transitional probability,28,6,0.01722394008109669,-0.1522581127601779,0.03128125124421301,-0.10865908730858044,0.16948205284127457,0.13994033855279345
9,word grouping,12,36,0.04483136991085791,0.0435195586813575,-0.0555649210601788,0.025619290817350693,0.0013118112295004147,-0.0811842118775295
9,duplet pairing,8,12,-0.022166206308659567,0.13913995643802898,-0.13011309433553264,0.10475651228673125,-0.16130616274668855,-0.2348696066222639
10,triplet position,18,48,-0.14250557629739666,0.025567206952587705,-0.15498128499361097,0.011121519910741564,-0.16807278324998437,-0.16610280490435253
10,transitional probability,28,6,0.028460005287957706,-0.14287276554288175,0.003018894852343223,-0.09990276667325271,0.17133277083083945,0.10292166152559593
10,word grouping,12,36,-0.047041874501401036,0.04977023410391729,-0.047997568519787266,0.029933391278270938,-0.09681210860531833,-0.0779309597980582
10,duplet pairing,8,12,0.13854824280884445,-0.001266045195722268,0.07653190049111963,0.02603067762829436,0.13981428800456672,0.05050122286282527
11,triplet position,15,40,-0.006912624663709811,-0.08286155708252907,-0.11613050879721022,-0.16200364206695994,0.07594893241881925,0.04587313326974972
11,transitional probability,28,3,-0.045423601567220265,-0.33068015075293755,-0.170589573907886,-0.3709530298450289,0.2852565491857173,0.20036345593714291
11,word grouping,10,30,0.05362240747985396,-0.12835621193665675,-0.24076726336901533,-0.1413916556341234,0.18197861941651072,-0.09937560773489193
11,duplet pairing,7,9,0.058797968340652144,0.019292598828583418,-0.25409030758661505,0.13587022449233063,0.039505369512068726,-0.38996053207894565
12,triplet position,18,48,0.09492231106911712,0.057600685188777125,0.18839244822565657,0.09034659150243637,0.03732162588034,0.09804585672322019
