subject,test,n.with,n.accr,median.with,median.accr
o0345,triplet position,18,48,-0.3005358592868199,-0.029233517027076387
o0345,transitional probability,28,6,-0.06217744514491871,-0.06838666769662395
o0345,word grouping,12,36,-0.2371995573868453,0.032950204051537445
o0345,duplet pairing,8,12,0.10403617854203151,0.3231533619306514
q0934,triplet position,18,48,0.023680623707728152,-8.28191270911556e-4
q0934,transitional probability,28,6,-0.025439449498436663,0.023680623707728152
q0934,word grouping,12,36,-0.07021431359850884,0.03128467853335653
q0934,duplet pairing,8,12,-0.07021431359850884,0.05313610018349975
b8353,triplet position,18,48,-0.3604624967579748,-0.010727549713227081
b8353,transitional probability,28,6,-0.2748011576599765,-0.2839418411808342
b8353,word grouping,12,36,-0.001072950618490734,-0.010727549713227081
b8353,duplet pairing,8,12,0.008741125673354694,-0.1494662236125389
v1790,triplet position,18,48,0.09563916343531025,-0.006283412324534671
v1790,transitional probability,28,6,0.04009508176867327,0.0991990942734499
v1790,word grouping,12,36,0.08562576643414256,-0.017959844386853482
v1790,duplet pairing,8,12,0.08562576643414256,0.18932447729786106
f0329,triplet position,18,48,-0.07513107873563951,-0.06054256598153649
f0329,transitional probability,28,6,-0.06337893197372355,-0.08566358865511768
f0329,word grouping,12,36,-0.07489361121157542,-0.05093460441323493
f0329,duplet pairing,8,12,-0.03742743141509575,-0.05203307724773082
i3939,triplet position,15,40,-0.3420827788884419,0.02599270478362229
i3939,transitional probability,21,6,-0.07820523704387342,-0.5169942603942623
i3939,word grouping,10,30,-0.05345887731203751,0.044908537433037216
i3939,duplet pairing,6,12,0.027485445773920168,0.12979624084502608
m1826,triplet position,18,48,-0.17584382337751842,0.03666076279068551
m1826,transitional probability,28,6,-0.02764655850028279,0.08702427012343739
m1826,word grouping,12,36,0.2450057656467745,-0.02764655850028279
m1826,duplet pairing,8,12,0.34825521991281505,0.21960022224183903
e9575,triplet position,18,48,-0.05030474622011681,-0.02235164563918833
e9575,transitional probability,28,6,-0.12430217191947478,-0.04599013899154427
e9575,word grouping,12,36,0.01680516085424047,-0.10183210961065907
e9575,duplet pairing,8,12,0.01680516085424047,0.044035922961222815
w0072,triplet position,18,48,0.05819883394678172,0.01475354305690608
w0072,transitional probability,28,6,0.04403898075227628,0.10711450734994997
w0072,word grouping,12,36,-0.025699746123568425,0.02123722098367261
w0072,duplet pairing,8,12,-0.05478508190256557,-0.02556458742873217
l4377,triplet position,18,48,-0.04057494168771588,0.008976330917203611
l4377,transitional probability,28,6,0.011827555585079148,-0.06979054366270328
l4377,word grouping,12,36,-0.10842140615922705,0.06899402347053205
l4377,duplet pairing,8,12,-0.1752828786832697,0.12601846265407637
l6988,triplet position,12,33,0.21265865241187648,0.008450892229600177
l6988,transitional probability,15,6,0.21056951664667892,0.21265865241187648
l6988,word grouping,8,25,0.21105112054075797,-0.08471957649486626
l6988,duplet pairing,5,9,0.285786997810785,-0.08471957649486626
r6677,triplet position,18,48,-0.023688844969817154,-0.11065867599049169
r6677,transitional probability,28,6,-0.06533385514215768,0.0891862036807818
r6677,word grouping,12,36,-0.03363474794487248,-0.17389326611702746
r6677,duplet pairing,8,12,0.01671109846998957,-0.1571504448740377
h9825,triplet position,18,48,0.13369385585589375,0.009609238990428981
h9825,transitional probability,28,6,0.06645697532440273,-0.16420745810695353
h9825,word grouping,12,36,0.007225029454626391,0.009609238990428981
h9825,duplet pairing,8,12,-0.06112246693684664,-0.0201241060325412
r4893,triplet position,15,40,-0.05144264668699251,-0.04075195007526966
r4893,transitional probability,21,6,-0.06800910008279747,0.040240836976558614
r4893,word grouping,10,30,0.09367198048328952,-0.07706307833145865
r4893,duplet pairing,7,9,0.07543658244711705,-0.09046177112056311
p0860,triplet position,18,48,-0.061307592641711296,0.08450345158126281
p0860,transitional probability,28,6,-0.012271735373749345,-0.015727227225338924
p0860,word grouping,12,36,0.26420568873652306,0.03228073672862315
p0860,duplet pairing,8,12,0.2828976196354248,0.14155324887571719
r3677,triplet position,18,48,-0.05008217863922143,0.023874409814921182
r3677,transitional probability,28,6,-0.010038540072751696,-0.17351505592153302
