"subject","delta_rt","sess","trial","tgt_word","N","rt_mean","rt_median","sd","se","ci","delta","cond_order"
"q7907","D2-3","rand",7,4,15,522.106666666665,480.399999999965,113.419943236667,29.2849034188934,62.8098710098011,-61.25,"struct-rand"
"q7907","D1-3","rand",11,4,18,578.938888888884,541.650000000023,124.374596133623,29.3153734444742,61.8500315631528,64.5499999999884,"struct-rand"
"q7907","D1-2","struct",8,1,18,622.999999999994,615.25,108.938363576939,25.677018538873,54.1737737056292,89.95,"struct-rand"
"q7907","D2-3","struct",4,1,13,548.123076923071,525.300000000017,81.4917700736905,22.6017504253087,49.2449837995993,62,"struct-rand"
"q7907","D1-3","struct",1,1,17,491.723529411764,463.299999999996,95.6140191696002,23.1898059015349,49.1601924185762,151.950000000004,"struct-rand"
"q7907","D1-2","struct",10,2,17,536.864705882343,520.600000000093,89.9005974755839,21.8040975998805,46.2226220467241,24.95,"struct-rand"
"q7907","D2-3","struct",2,2,16,561.343749999997,495.649999999994,139.898081801244,34.9745204503109,74.5464257199862,47.8,"struct-rand"
"q7907","D1-3","struct",9,2,18,455.638888888889,447.849999999977,94.0490806715403,22.1675809024023,46.7695075107686,72.7500000001164,"struct-rand"
"q7907","D1-2","struct",12,3,17,614.923529411762,611.099999999977,125.442185534887,30.4241988746275,64.496420418884,115.65,"struct-rand"
"q7907","D2-3","struct",7,3,18,516.394444444446,495.450000000012,110.782996530426,26.1118026956101,55.0910880925081,15.4,"struct-rand"
"q7907","D1-3","struct",6,3,16,500.29374999999,480.049999999988,96.6261763619591,24.1565440904898,51.4884549239691,131.049999999988,"struct-rand"
"q7907","D1-2","struct",5,4,18,686.555555555556,678.000000000029,103.295391516258,24.3469572688217,51.3675897186022,190.1,"struct-rand"
"q7907","D2-3","struct",3,4,17,503.094117647056,487.899999999994,95.759695792307,23.2251376722763,49.2350924266017,81.4,"struct-rand"
"q7907","D1-3","struct",11,4,17,422.229411764721,406.5,64.8332839356536,15.7243810424918,33.3341986989526,271.500000000029,"struct-rand"
"q5570","D1-2","rand",8,1,16,535.025000000001,543.75,118.29093794539,29.5727344863475,63.0327914818852,4.95,"rand-struct"
"q5570","D2-3","rand",4,1,15,551.546666666671,538.800000000047,93.6909117918124,24.1908894040452,51.8842975626879,25.7,"rand-struct"
"q5570","D1-3","rand",3,1,17,606.370588235297,513.100000000006,164.322361399422,39.8540266294551,84.4867622470868,30.6499999999942,"rand-struct"
"q5570","D1-2","rand",2,2,15,565.43333333333,506.700000000012,131.322773928897,33.9073944269587,72.7241281889194,37.6,"rand-struct"
"q5570","D2-3","rand",5,2,18,500.366666666665,469.100000000006,85.6547172561758,20.1890104708194,42.5950887923748,-16.8,"rand-struct"
"q5570","D1-3","rand",1,2,18,526.988888888891,485.900000000001,150.462658603344,35.4643887379269,74.8233198176146,20.8000000000102,"rand-struct"
"q5570","D1-2","rand",12,3,14,617.471428571452,632.649999999965,121.609219213846,32.5014309550929,70.2150727255722,99.75,"rand-struct"
"q5570","D2-3","rand",10,3,18,566.172222222234,532.900000000023,130.256099803225,30.7016571539239,64.7748345286464,3.4,"rand-struct"
"q5570","D1-3","rand",9,3,14,530.142857142849,529.499999999942,63.7917249792174,17.0490556416815,36.8322454305787,103.150000000023,"rand-struct"
"q5570","D1-2","rand",6,4,14,554.899999999998,551.150000000023,127.37317674395,34.0419134029187,73.5430827216862,28.15,"rand-struct"
"q5570","D2-3","rand",7,4,18,546.966666666665,523,126.357192118222,29.7826757994953,62.8359533513345,-1.6,"rand-struct"
"q5570","D1-3","rand",11,4,11,559.481818181812,524.599999999977,134.093234864249,40.4306315427017,90.0850609506354,26.5500000000466,"rand-struct"
"q5570","D1-2","struct",8,1,15,587.659999999994,602.900000000023,115.867836039906,29.9169466229098,64.1654688599644,89.4,"rand-struct"
"q5570","D2-3","struct",4,1,17,526.56470588236,513.5,169.145794882606,41.0238810841202,86.966742904849,163.7,"rand-struct"
"q5570","D1-3","struct",1,1,16,326.593750000001,349.799999999996,78.1264997189385,19.5316249297346,41.6306730805268,253.100000000028,"rand-struct"
"q5570","D1-2","struct",10,2,17,509.364705882357,529.099999999977,101.790667187456,24.6878630891749,52.3359317891906,48.75,"rand-struct"
"q5570","D2-3","struct",2,2,18,535.583333333331,480.350000000006,175.39822337956,41.3417577199198,87.2234844524976,-3.05,"rand-struct"
"q5570","D1-3","struct",9,2,17,504.87647058823,483.399999999907,110.422600321511,26.7814143871148,56.774062279885,45.7000000000698,"rand-struct"
"q5570","D1-2","struct",12,3,16,521.61250000001,501.250000000058,141.515628701083,35.3789071752707,75.4083556211322,137.35,"rand-struct"
"q5570","D2-3","struct",7,3,17,366.323529411765,363.900000000023,128.062170104073,31.0596384697006,65.8434921838147,-6.7,"rand-struct"
"q5570","D1-3","struct",6,3,15,408.680000000001,370.599999999977,96.7076315499525,24.9698030962753,53.55490128082,130.650000000081,"rand-struct"
"q5570","D1-2","struct",5,4,16,601.606249999993,547.599999999977,126.95758067823,31.7393951695574,67.6509194104953,87.45,"rand-struct"
"q5570","D2-3","struct",3,4,16,465.706249999997,460.150000000009,156.578097526443,39.1445243816107,83.4345787043376,73.75,"rand-struct"
"q5570","D1-3","struct",11,4,12,387.475000000006,386.399999999965,122.545287547077,35.3757773766126,77.8615610326299,161.200000000012,"rand-struct"
"l1982","D1-2","rand",8,1,17,472.01176470589,468,67.5870446382976,16.3922661157081,34.7500518049345,-89.7,"rand-struct"
"l1982","D2-3","rand",4,1,17,562.552941176467,557.700000000012,82.4340806163298,19.993201266577,42.3836933134137,93.1,"rand-struct"
"l1982","D1-3","rand",3,1,17,464.86470588235,464.599999999977,64.4085004209158,15.6213559072397,33.1157951687787,3.40000000002328,"rand-struct"
"l1982","D1-2","rand",2,2,17,435.05294117647,437.199999999997,34.6846529038246,8.41226397119736,17.8332029709893,-56.55,"rand-struct"
"l1982","D2-3","rand",5,2,18,506.016666666669,493.749999999971,61.9643279732549,14.6051321671853,30.814135362642,89.55,"rand-struct"
"l1982","D1-3","rand",1,2,19,422.657894736843,404.199999999997,93.8692845029698,21.5350907921534,45.2435468838268,33,"rand-struct"
"l1982","D1-2","rand",12,3,18,494.37222222222,491.049999999988,78.3382995922583,18.4645142894364,38.9567198849788,37.1,"rand-struct"
"l1982","D2-3","rand",10,3,18,480.100000000009,453.950000000012,77.3490560419876,18.2313473485559,38.4647806408734,-2.7,"rand-struct"
"l1982","D1-3","rand",9,3,16,477.887499999997,456.649999999965,88.7824147377682,22.195603684442,47.3088093866289,34.4000000000233,"rand-struct"
"l1982","D1-2","rand",6,4,18,532.633333333328,504.549999999988,81.876413324136,19.2984556935764,40.7161824504335,60.6,"rand-struct"
"l1982","D2-3","rand",7,4,16,476.937499999996,443.949999999983,96.5297113155645,24.1324278288911,51.4370523291441,2.3,"rand-struct"
