"SubjID","Sess","Trial","Target","Total","bw_ramps","ramp_up","ramp_down"
"n4711","rand",3,"mi",18,18,0,0
"n4711","rand",4,"za",18,18,0,0
"n4711","rand",5,"po",18,18,0,0
"n4711","rand",6,"di",18,18,0,0
"n4711","rand",7,"tu",18,18,0,0
"n4711","rand",8,"ki",18,17,0,1
"n4711","rand",9,"ro",18,18,0,0
"n4711","rand",10,"ga",18,18,0,0
"n4711","rand",11,"be",18,18,0,0
"n4711","rand",12,"la",18,18,0,0
"n4711","struct",1,"nu",18,18,0,0
"n4711","struct",2,"ki",18,18,0,0
"n4711","struct",3,"mi",18,18,0,0
"n4711","struct",4,"ro",18,18,0,0
"n4711","struct",5,"tu",18,18,0,0
"n4711","struct",6,"za",18,18,0,0
"n4711","struct",7,"la",18,17,0,1
"n4711","struct",8,"be",18,18,0,0
"n4711","struct",9,"di",18,18,0,0
"n4711","struct",10,"po",18,18,0,0
"n4711","struct",11,"se",18,18,0,0
"n4711","struct",12,"ga",18,18,0,0
"h5760","struct",1,"di",18,18,0,0
"h5760","struct",2,"ki",18,17,0,1
"h5760","struct",3,"be",18,18,0,0
"h5760","struct",4,"ga",18,18,0,0
"h5760","struct",5,"za",18,18,0,0
"h5760","struct",6,"la",18,18,0,0
"h5760","struct",7,"po",18,17,0,1
"h5760","struct",8,"nu",18,17,0,1
"h5760","struct",9,"se",18,18,0,0
"h5760","struct",10,"ro",18,18,0,0
"h5760","struct",11,"tu",18,18,0,0
"h5760","struct",12,"mi",18,18,0,0
"h5760","rand",1,"se",19,17,1,1
"h5760","rand",2,"ro",18,18,0,0
"h5760","rand",3,"di",18,17,0,1
"h5760","rand",4,"ga",18,18,0,0
"h5760","rand",5,"ki",18,18,0,0
"h5760","rand",6,"za",18,17,0,1
"h5760","rand",7,"be",18,18,0,0
"h5760","rand",8,"nu",18,17,0,1
"h5760","rand",9,"la",18,18,0,0
"h5760","rand",10,"po",18,18,0,0
"h5760","rand",11,"tu",18,18,0,0
"h5760","rand",12,"mi",18,18,0,0
"d5450","rand",1,"se",19,17,1,1
"d5450","rand",2,"ro",18,18,0,0
"d5450","rand",3,"di",18,18,0,0
"d5450","rand",4,"ga",18,18,0,0
"d5450","rand",5,"ki",18,17,0,1
"d5450","rand",6,"za",18,18,0,0
"d5450","rand",7,"be",18,18,0,0
"d5450","rand",8,"nu",18,18,0,0
"d5450","rand",9,"la",18,18,0,0
"d5450","rand",10,"po",18,18,0,0
"d5450","rand",11,"tu",18,18,0,0
"d5450","rand",12,"mi",18,18,0,0
"d5450","struct",1,"di",18,18,0,0
"d5450","struct",2,"ki",18,18,0,0
"d5450","struct",3,"be",18,18,0,0
"d5450","struct",4,"ga",18,18,0,0
"d5450","struct",5,"za",18,18,0,0
"d5450","struct",6,"la",18,17,0,1
"d5450","struct",7,"po",18,18,0,0
"d5450","struct",8,"nu",18,18,0,0
"d5450","struct",9,"se",18,18,0,0
"d5450","struct",10,"ro",18,18,0,0
"d5450","struct",11,"tu",18,18,0,0
"d5450","struct",12,"mi",18,18,0,0
