"rt","tgt_pos"
385.600000000006,"3"
361.400000000023,"3"
469.5,"3"
381.200000000012,"3"
657.200000000012,"3"
369.200000000012,"3"
407.100000000006,"3"
683,"3"
326.900000000023,"3"
322.800000000017,"3"
350.800000000017,"3"
318.800000000017,"3"
440.5,"3"
378.200000000012,"1"
531.900000000023,"1"
399.900000000023,"1"
386,"1"
645.799999999988,"1"
511.700000000012,"1"
389.5,"1"
377.5,"1"
483.299999999988,"1"
431.299999999988,"1"
699.299999999988,"1"
411.200000000012,"1"
679.100000000035,"1"
323,"1"
796.899999999965,"1"
390.299999999988,"3"
522.400000000023,"3"
442,"3"
473.899999999965,"3"
245.799999999988,"3"
227.799999999988,"3"
331.799999999988,"3"
399.699999999953,"3"
315.799999999988,"3"
323.600000000035,"3"
381.400000000023,"3"
549.5,"3"
347.400000000023,"3"
259.200000000012,"3"
233.200000000012,"3"
453.100000000035,"3"
401.100000000035,"3"
298.900000000023,"3"
556,"2"
377.899999999965,"2"
388.600000000035,"2"
432.5,"2"
362.400000000023,"2"
454.200000000012,"2"
498.200000000012,"2"
592.100000000035,"2"
304,"2"
339.899999999965,"2"
363.900000000023,"2"
329.700000000012,"2"
285.700000000012,"2"
315.700000000012,"2"
503.5,"2"
453.5,"2"
473.400000000023,"2"
285.400000000023,"2"
333.200000000012,"2"
329,"3"
412.800000000047,"3"
370.800000000047,"3"
368.70000000007,"3"
372.70000000007,"3"
336.699999999953,"3"
394.599999999977,"3"
408.5,"3"
416.300000000047,"3"
396.300000000047,"3"
426.099999999977,"3"
389.900000000023,"3"
316.099999999977,"3"
339.900000000023,"3"
399.800000000047,"3"
359.800000000047,"3"
413.599999999977,"3"
393.199999999953,"1"
357.099999999977,"1"
371.099999999977,"1"
665,"1"
404.800000000047,"1"
444.79999999993,"1"
362.599999999977,"1"
448.400000000023,"1"
496.400000000023,"1"
438.199999999953,"1"
602.199999999953,"1"
406.199999999953,"1"
306.099999999977,"1"
428,"1"
378,"1"
419.899999999907,"1"
457.79999999993,"1"
327.400000000023,"2"
357.099999999977,"2"
353.099999999977,"2"
315.100000000093,"2"
518.900000000023,"2"
362.900000000023,"2"
360.70000000007,"2"
288.599999999977,"2"
466.600000000093,"2"
320.600000000093,"2"
404.400000000023,"2"
328.5,"2"
404.400000000023,"2"
552.099999999977,"2"
312.100000000093,"2"
508,"2"
251.100000000093,"1"
116.900000000023,"1"
272.800000000047,"1"
882.20000000007,"1"
521.900000000023,"3"
533.900000000023,"3"
579.800000000047,"3"
451.70000000007,"3"
489.599999999977,"3"
629.5,"3"
399.5,"3"
403.20000000007,"3"
469.20000000007,"3"
489.099999999977,"3"
597,"3"
384.900000000023,"3"
532.900000000023,"3"
562.800000000047,"3"
464.699999999953,"3"
422.599999999977,"3"
396.599999999977,"3"
270.199999999953,"3"
300.099999999977,"3"
292,"3"
386,"3"
341.900000000023,"3"
323.800000000047,"3"
365.599999999977,"3"
297.699999999953,"3"
233.599999999977,"3"
309.400000000023,"3"
289.400000000023,"3"
261.400000000023,"3"
193.400000000023,"3"
297.300000000047,"3"
349,"3"
381,"3"
386.900000000023,"3"
538.599999999977,"1"
394.5,"1"
486.400000000023,"1"
412.199999999953,"1"
378.29999999993,"1"
390.199999999953,"1"
407.900000000023,"1"
831.900000000023,"1"
