"subject","block","trial","target_num","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",3,9,2,"za",4,1,0,NA,NA,NA
"m0085",3,9,3,"za",4,1,0,NA,NA,NA
"m0085",3,9,4,"za",4,1,1,879.599999999977,0.879599999999977,2.4321826089568
"m0085",3,9,5,"za",4,1,0,NA,NA,NA
"m0085",3,9,6,"za",4,1,0,NA,NA,NA
"m0085",3,9,7,"za",4,1,0,NA,NA,NA
"m0085",3,9,8,"za",4,1,1,761.29999999993,0.76129999999993,1.74533750872769
"m0085",3,9,9,"za",4,1,1,343.199999999953,0.343199999999953,-0.682134481176474
"m0085",3,9,10,"za",4,1,1,691.099999999977,0.691099999999977,1.33775909760315
"m0085",3,9,11,"za",4,1,0,NA,NA,NA
"m0085",3,9,12,"za",4,1,0,NA,NA,NA
"m0085",3,9,13,"za",4,1,0,NA,NA,NA
"m0085",3,9,14,"za",4,1,0,NA,NA,NA
"m0085",3,9,15,"za",4,1,0,NA,NA,NA
"m0085",3,9,16,"za",4,1,0,NA,NA,NA
"m0085",3,9,17,"za",4,1,0,NA,NA,NA
"m0085",3,9,18,"za",4,1,0,NA,NA,NA
"m0085",4,10,1,"nu",1,1,1,502.20000000007,0.50220000000007,0.241013202141075
"m0085",4,10,2,"nu",1,1,1,436.099999999977,0.436099999999977,-0.142760771867296
"m0085",4,10,3,"nu",1,1,1,872.099999999977,0.872099999999977,2.38863790691355
"m0085",4,10,4,"nu",1,1,1,469.899999999907,0.469899999999907,0.0534806853405377
"m0085",4,10,5,"nu",1,1,1,421.79999999993,0.42179999999993,-0.225786003763363
"m0085",4,10,6,"nu",1,1,1,569.79999999993,0.56979999999993,0.633496116556742
"m0085",4,10,7,"nu",1,1,1,513.900000000023,0.513900000000023,0.30894293732827
"m0085",4,10,8,"nu",1,1,1,399.5,0.3995,-0.355258917838215
"m0085",4,10,9,"nu",1,1,1,459.5,0.4595,-0.00690130149222685
"m0085",4,10,10,"nu",1,1,1,729.399999999907,0.729399999999907,1.56012737603694
"m0085",4,10,11,"nu",1,1,1,509.29999999993,0.50929999999993,0.282235520074537
"m0085",4,10,12,"nu",1,1,1,499.29999999993,0.49929999999993,0.224175917350206
"m0085",4,10,13,"nu",1,1,1,551.29999999993,0.55129999999993,0.526085851516729
"m0085",4,10,14,"nu",1,1,1,475.199999999953,0.475199999999953,0.0842522747847004
"m0085",4,10,15,"nu",1,1,0,NA,NA,NA
"m0085",4,10,16,"nu",1,1,1,510.899999999907,0.510899999999907,0.291525056510296
"m0085",4,10,17,"nu",1,1,1,574.899999999907,0.574899999999907,0.663106513946017
"m0085",4,10,18,"nu",1,1,0,NA,NA,NA
"m0085",4,11,1,"tu",4,3,1,326.399999999907,0.326399999999907,-0.779674613753618
"m0085",4,11,2,"tu",4,3,1,350.29999999993,0.35029999999993,-0.640912163242332
"m0085",4,11,3,"tu",4,3,1,332.400000000023,0.332400000000023,-0.744838852118345
"m0085",4,11,4,"tu",4,3,1,396.199999999953,0.396199999999953,-0.374418586737518
"m0085",4,11,5,"tu",4,3,1,626,0.626,0.959791083867891
"m0085",4,11,6,"tu",4,3,1,462,0.462,0.00761359918885599
"m0085",4,11,7,"tu",4,3,1,347.899999999907,0.347899999999907,-0.654846467896305
"m0085",4,11,8,"tu",4,3,1,309.899999999907,0.309899999999907,-0.875472958248764
"m0085",4,11,9,"tu",4,3,1,529.900000000023,0.529900000000023,0.4018383016872
"m0085",4,11,10,"tu",4,3,1,393.800000000047,0.393800000000047,-0.388352891390811
"m0085",4,11,11,"tu",4,3,1,757.79999999993,0.75779999999993,1.72501664777417
"m0085",4,11,12,"tu",4,3,1,433.599999999977,0.433599999999977,-0.157275672548379
"m0085",4,11,13,"tu",4,3,1,693.599999999977,0.693599999999977,1.35227399828424
"m0085",4,11,15,"tu",4,3,1,633.599999999977,0.633599999999977,1.00391638193825
"m0085",4,11,16,"tu",4,3,1,933.199999999953,0.933199999999953,2.74338207955908
"m0085",4,11,17,"tu",4,3,1,381.099999999977,0.381099999999977,-0.462088586851118
"m0085",4,11,18,"tu",4,3,1,379.099999999977,0.379099999999977,-0.473700507395985
"m0085",4,12,1,"po",3,2,1,414.699999999953,0.414699999999953,-0.267008321697504
"m0085",4,12,2,"po",3,2,1,426.900000000023,0.426900000000023,-0.196175606373414
"m0085",4,12,3,"po",3,2,1,496.699999999953,0.496699999999953,0.209080420642013
"m0085",4,12,4,"po",3,2,1,430.599999999977,0.430599999999977,-0.174693553365678
"m0085",4,12,5,"po",3,2,1,634.599999999977,0.634599999999977,1.00972234221068
"m0085",4,12,6,"po",3,2,1,524.5,0.5245,0.370486116215927
"m0085",4,12,7,"po",3,2,0,NA,NA,NA
"m0085",4,12,8,"po",3,2,0,NA,NA,NA
"m0085",4,12,9,"po",3,2,1,586.300000000047,0.586300000000047,0.729294461052568
"m0085",4,12,10,"po",3,2,1,450.20000000007,0.45020000000007,-0.0608967320254485
"m0085",4,12,11,"po",3,2,1,780.100000000093,0.780100000000093,1.85448956185038
"m0085",4,12,12,"po",3,2,0,NA,NA,NA
"m0085",4,12,13,"po",3,2,1,669.900000000023,0.669900000000023,1.21467273982784
"m0085",4,12,14,"po",3,2,1,609.79999999993,0.60979999999993,0.865734527454068
"m0085",4,12,15,"po",3,2,1,637.699999999953,0.637699999999953,1.02772081905509
"m0085",4,12,16,"po",3,2,1,737.599999999977,0.737599999999977,1.6077362502713
"m0085",4,12,17,"po",3,2,1,585.600000000093,0.585600000000093,0.725230288862132
"m0085",4,12,18,"po",3,2,1,629.5,0.6295,0.980111944821407
"m0085",5,13,1,"ro",2,1,0,NA,NA,NA
"m0085",5,13,2,"ro",2,1,1,608.900000000023,0.608900000000023,0.860509163209418
"m0085",5,13,3,"ro",2,1,1,836.79999999993,0.83679999999993,2.18368750929639
"m0085",5,13,4,"ro",2,1,1,758.800000000047,0.758800000000047,1.73082260804728
"m0085",5,13,6,"ro",2,1,0,NA,NA,NA
"m0085",5,13,7,"ro",2,1,0,NA,NA,NA
"m0085",5,13,8,"ro",2,1,0,NA,NA,NA
"m0085",5,13,9,"ro",2,1,0,NA,NA,NA
"m0085",5,13,10,"ro",2,1,1,654.300000000047,0.654300000000047,1.12409975957802
"m0085",5,13,11,"ro",2,1,0,NA,NA,NA
"m0085",5,13,12,"ro",2,1,0,NA,NA,NA
"m0085",5,13,13,"ro",2,1,1,52.2000000000698,0.0522000000000698,-2.37166892045384
"m0085",5,13,14,"ro",2,1,0,NA,NA,NA
"m0085",5,13,15,"ro",2,1,0,NA,NA,NA
"m0085",5,13,16,"ro",2,1,1,643.900000000023,0.643900000000023,1.06371777274458
"m0085",5,13,18,"ro",2,1,0,NA,NA,NA
"m0085",5,14,1,"se",2,3,1,617.600000000093,0.617600000000093,0.911021017579992
