subject,block,targets,n_responses,accuracy,precision,hits,misses,false_positives
7,22,18,26,0.888888888888889,0.666666666666667,16,2,8
7,23,18,19,0.944444444444444,0.944444444444444,17,1,1
7,24,18,18,0.722222222222222,1,13,5,0
8,1,18,18,0.888888888888889,1,16,2,0
8,2,18,18,0.944444444444444,1,17,1,0
8,3,18,30,0.333333333333333,0.333333333333333,6,12,12
8,4,18,18,1,1,18,0,0
8,5,18,20,0.944444444444444,0.894736842105263,17,1,2
8,6,18,29,0.388888888888889,0.388888888888889,7,11,11
8,7,18,21,0.944444444444444,0.85,17,1,3
8,8,18,19,1,0.947368421052632,18,0,1
8,9,18,19,0.888888888888889,0.941176470588235,16,2,1
8,10,18,18,1,1,18,0,0
8,11,18,19,1,0.947368421052632,18,0,1
8,12,18,19,0.944444444444444,0.944444444444444,17,1,1
8,13,18,18,0.722222222222222,1,13,5,0
8,14,18,19,0.944444444444444,0.944444444444444,17,1,1
8,15,18,18,1,1,18,0,0
8,16,18,18,1,1,18,0,0
8,17,18,20,0.944444444444444,0.894736842105263,17,1,2
8,18,18,19,0.944444444444444,0.944444444444444,17,1,1
8,19,18,30,0.333333333333333,0.333333333333333,6,12,12
8,20,18,18,1,1,18,0,0
8,21,18,18,1,1,18,0,0
8,22,18,32,0.222222222222222,0.222222222222222,4,14,14
8,23,18,21,1,0.857142857142857,18,0,3
8,24,18,18,1,1,18,0,0
9,1,18,19,0.888888888888889,0.941176470588235,16,2,1
9,2,18,19,0.944444444444444,0.944444444444444,17,1,1
9,3,18,18,0.888888888888889,1,16,2,0
9,4,18,19,0.944444444444444,0.944444444444444,17,1,1
9,5,18,19,1,0.947368421052632,18,0,1
9,6,18,18,1,1,18,0,0
9,7,18,19,0.888888888888889,0.941176470588235,16,2,1
9,8,18,18,0.888888888888889,1,16,2,0
9,9,18,18,1,1,18,0,0
9,10,18,18,0.944444444444444,1,17,1,0
9,11,18,20,0.722222222222222,0.866666666666667,13,5,2
9,12,18,19,0.944444444444444,0.944444444444444,17,1,1
9,13,18,19,0.944444444444444,0.944444444444444,17,1,1
9,14,18,28,0.277777777777778,0.333333333333333,5,13,10
9,15,18,25,0.388888888888889,0.5,7,11,7
9,16,18,19,0.833333333333333,0.9375,15,3,1
9,17,18,18,0.944444444444444,1,17,1,0
9,18,18,26,0.444444444444444,0.5,8,10,8
9,19,18,18,0.777777777777778,1,14,4,0
9,20,18,18,0.833333333333333,1,15,3,0
9,21,18,18,0.944444444444444,1,17,1,0
9,22,18,19,0.888888888888889,0.941176470588235,16,2,1
9,23,18,28,0.388888888888889,0.411764705882353,7,11,10
9,24,18,18,0.944444444444444,1,17,1,0
10,1,18,19,1,0.947368421052632,18,0,1
10,2,18,18,1,1,18,0,0
10,3,18,18,0.944444444444444,1,17,1,0
10,4,18,18,0.944444444444444,1,17,1,0
10,5,18,18,1,1,18,0,0
10,6,18,19,0.888888888888889,0.941176470588235,16,2,1
10,7,18,18,0.722222222222222,1,13,5,0
10,8,18,19,1,0.947368421052632,18,0,1
10,9,18,28,0.388888888888889,0.411764705882353,7,11,10
10,10,18,21,0.944444444444444,0.85,17,1,3
10,11,18,18,0.944444444444444,1,17,1,0
10,12,18,19,1,0.947368421052632,18,0,1
10,13,18,18,0.777777777777778,1,14,4,0
10,14,18,20,0.722222222222222,0.866666666666667,13,5,2
10,15,18,30,0.277777777777778,0.294117647058824,5,13,12
10,16,18,19,0.944444444444444,0.944444444444444,17,1,1
10,17,18,19,1,0.947368421052632,18,0,1
10,18,18,18,0.833333333333333,1,15,3,0
10,19,18,19,0.833333333333333,0.9375,15,3,1
10,20,18,31,0.388888888888889,0.35,7,11,13
10,21,18,19,0.777777777777778,0.933333333333333,14,4,1
10,22,18,18,0.944444444444444,1,17,1,0
10,23,18,18,0.888888888888889,1,16,2,0
10,24,18,28,0.333333333333333,0.375,6,12,10
11,1,18,19,0.777777777777778,0.933333333333333,14,4,1
11,2,18,19,0.833333333333333,0.9375,15,3,1
11,3,18,27,0.388888888888889,0.4375,7,11,9
11,4,18,23,0.833333333333333,0.75,15,3,5
11,5,18,18,0.833333333333333,1,15,3,0
11,6,18,27,0.333333333333333,0.4,6,12,9
11,7,18,28,0.888888888888889,0.615384615384615,16,2,10
11,8,18,18,0.888888888888889,1,16,2,0
11,9,18,25,0.111111111111111,0.222222222222222,2,16,7
11,10,18,18,0.777777777777778,1,14,4,0
11,11,18,18,0.888888888888889,1,16,2,0
11,12,18,22,0.111111111111111,0.333333333333333,2,16,4
11,13,18,18,0.222222222222222,1,4,14,0
11,14,18,18,0.888888888888889,1,16,2,0
11,15,18,33,0.222222222222222,0.210526315789474,4,14,15
11,16,18,22,0.444444444444444,0.666666666666667,8,10,4
11,17,18,19,0.944444444444444,0.944444444444444,17,1,1
11,18,18,19,0.944444444444444,0.944444444444444,17,1,1
11,19,18,20,0.666666666666667,0.857142857142857,12,6,2
11,20,18,22,0.166666666666667,0.428571428571429,3,15,4
11,21,18,26,0.277777777777778,0.384615384615385,5,13,8
11,22,18,23,0.555555555555556,0.666666666666667,10,8,5
11,23,18,18,0,NaN,0,18,0
11,24,18,19,0.944444444444444,0.944444444444444,17,1,1
12,1,18,20,0.777777777777778,0.875,14,4,2
12,2,18,18,0.944444444444444,1,17,1,0
12,3,18,19,1,0.947368421052632,18,0,1
12,4,18,19,1,0.947368421052632,18,0,1
12,5,18,19,0,0,0,18,1
12,6,18,18,0.944444444444444,1,17,1,0
12,7,18,18,0.944444444444444,1,17,1,0
12,8,18,19,0.944444444444444,0.944444444444444,17,1,1
12,9,18,27,0.388888888888889,0.4375,7,11,9
12,10,18,18,0.944444444444444,1,17,1,0
12,11,18,28,0.388888888888889,0.411764705882353,7,11,10
12,12,18,19,1,0.947368421052632,18,0,1
12,13,18,18,1,1,18,0,0
12,14,18,18,1,1,18,0,0
12,15,18,18,0.944444444444444,1,17,1,0
12,16,18,19,0.944444444444444,0.944444444444444,17,1,1
