"subject","block","trial","target_num","stream_pos","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",3,9,11,128,"za",4,1,0,NA,NA,NA
"m0085",3,9,12,134,"za",4,1,0,NA,NA,NA
"m0085",3,9,13,140,"za",4,1,0,NA,NA,NA
"m0085",3,9,14,146,"za",4,1,0,NA,NA,NA
"m0085",3,9,15,161,"za",4,1,0,NA,NA,NA
"m0085",3,9,16,191,"za",4,1,0,NA,NA,NA
"m0085",3,9,17,197,"za",4,1,0,NA,NA,NA
"m0085",3,9,18,206,"za",4,1,0,NA,NA,NA
"m0085",4,10,1,14,"nu",1,1,1,502.20000000007,0.50220000000007,0.274478500926057
"m0085",4,10,2,23,"nu",1,1,1,436.099999999977,0.436099999999977,-0.112519664705685
"m0085",4,10,3,29,"nu",1,1,1,872.099999999977,0.872099999999977,2.44014599664382
"m0085",4,10,4,38,"nu",1,1,1,469.899999999907,0.469899999999907,0.0853704714260454
"m0085",4,10,5,50,"nu",1,1,1,421.79999999993,0.42179999999993,-0.19624241460802
"m0085",4,10,6,56,"nu",1,1,1,569.79999999993,0.56979999999993,0.670258773189519
"m0085",4,10,7,68,"nu",1,1,1,513.900000000023,0.513900000000023,0.342978932663831
"m0085",4,10,8,89,"nu",1,1,1,399.5,0.3995,-0.32680306655278
"m0085",4,10,9,107,"nu",1,1,1,459.5,0.4595,0.0244811987705468
"m0085",4,10,10,116,"nu",1,1,1,729.399999999907,0.729399999999907,1.60467491894943
"m0085",4,10,11,134,"nu",1,1,1,509.29999999993,0.50929999999993,0.316047138988498
"m0085",4,10,12,143,"nu",1,1,1,499.29999999993,0.49929999999993,0.25749976143461
"m0085",4,10,13,149,"nu",1,1,1,551.29999999993,0.55129999999993,0.561946124714827
"m0085",4,10,14,155,"nu",1,1,1,475.199999999953,0.475199999999953,0.116400581529875
"m0085",4,10,15,164,"nu",1,1,0,NA,NA,NA
"m0085",4,10,16,185,"nu",1,1,1,510.899999999907,0.510899999999907,0.325414719396985
"m0085",4,10,17,197,"nu",1,1,1,574.899999999907,0.574899999999907,0.700117935741867
"m0085",4,10,18,215,"nu",1,1,0,NA,NA,NA
"m0085",4,11,1,7,"tu",4,3,1,326.399999999907,0.326399999999907,-0.754784396472243
"m0085",4,11,2,19,"tu",4,3,1,350.29999999993,0.35029999999993,-0.614856164118317
"m0085",4,11,3,40,"tu",4,3,1,332.400000000023,0.332400000000023,-0.719655969939232
"m0085",4,11,4,52,"tu",4,3,1,396.199999999953,0.396199999999953,-0.346123701145838
"m0085",4,11,5,61,"tu",4,3,1,626,0.626,0.999295035042778
"m0085",4,11,6,67,"tu",4,3,1,462,0.462,0.0391180431590187
"m0085",4,11,7,76,"tu",4,3,1,347.899999999907,0.347899999999907,-0.628907534731385
"m0085",4,11,8,91,"tu",4,3,1,309.899999999907,0.309899999999907,-0.851387569436158
"m0085",4,11,9,97,"tu",4,3,1,529.900000000023,0.529900000000023,0.436654736750051
"m0085",4,11,10,109,"tu",4,3,1,393.800000000047,0.393800000000047,-0.36017507175822
"m0085",4,11,11,115,"tu",4,3,1,757.79999999993,0.75779999999993,1.77094947120261
"m0085",4,11,12,121,"tu",4,3,1,433.599999999977,0.433599999999977,-0.127156509094157
"m0085",4,11,13,127,"tu",4,3,1,693.599999999977,0.693599999999977,1.39507530730692
"m0085",4,11,15,145,"tu",4,3,1,633.599999999977,0.633599999999977,1.0437910419836
"m0085",4,11,16,187,"tu",4,3,1,933.199999999953,0.933199999999953,2.79787047349793
"m0085",4,11,17,199,"tu",4,3,1,381.099999999977,0.381099999999977,-0.434530241252068
"m0085",4,11,18,208,"tu",4,3,1,379.099999999977,0.379099999999977,-0.446239716762845
"m0085",4,12,1,6,"po",3,2,1,414.699999999953,0.414699999999953,-0.237811052671146
"m0085",4,12,2,12,"po",3,2,1,426.900000000023,0.426900000000023,-0.166383252054993
"m0085",4,12,3,21,"po",3,2,1,496.699999999953,0.496699999999953,0.242277443270734
"m0085",4,12,4,42,"po",3,2,1,430.599999999977,0.430599999999977,-0.144720722360323
"m0085",4,12,5,48,"po",3,2,1,634.599999999977,0.634599999999977,1.04964577973899
"m0085",4,12,6,63,"po",3,2,1,524.5,0.5245,0.405039152870817
"m0085",4,12,7,81,"po",3,2,0,NA,NA,NA
"m0085",4,12,8,87,"po",3,2,0,NA,NA,NA
"m0085",4,12,9,96,"po",3,2,1,586.300000000047,0.586300000000047,0.766861946154119
"m0085",4,12,10,108,"po",3,2,1,450.20000000007,0.45020000000007,-0.0299678623541589
"m0085",4,12,11,123,"po",3,2,1,780.100000000093,0.780100000000093,1.90151012314873
"m0085",4,12,12,144,"po",3,2,0,NA,NA,NA
"m0085",4,12,13,150,"po",3,2,1,669.900000000023,0.669900000000023,1.25631802250448
"m0085",4,12,14,156,"po",3,2,1,609.79999999993,0.60979999999993,0.90444828340507
"m0085",4,12,15,174,"po",3,2,1,637.699999999953,0.637699999999953,1.06779546678055
"m0085",4,12,16,180,"po",3,2,1,737.599999999977,0.737599999999977,1.65268376854403
"m0085",4,12,17,204,"po",3,2,1,585.600000000093,0.585600000000093,0.762763629725616
"m0085",4,12,18,210,"po",3,2,1,629.5,0.6295,1.01978661718664
"m0085",5,13,1,15,"ro",2,1,0,NA,NA,NA
"m0085",5,13,2,42,"ro",2,1,1,608.900000000023,0.608900000000023,0.899179019425764
"m0085",5,13,3,48,"ro",2,1,1,836.79999999993,0.83679999999993,2.23347375387832
"m0085",5,13,4,63,"ro",2,1,1,758.800000000047,0.758800000000047,1.77680420895868
"m0085",5,13,6,84,"ro",2,1,0,NA,NA,NA
"m0085",5,13,7,93,"ro",2,1,0,NA,NA,NA
"m0085",5,13,8,99,"ro",2,1,0,NA,NA,NA
"m0085",5,13,9,105,"ro",2,1,0,NA,NA,NA
"m0085",5,13,10,123,"ro",2,1,1,654.300000000047,0.654300000000047,1.16498411352055
"m0085",5,13,11,129,"ro",2,1,0,NA,NA,NA
"m0085",5,13,12,138,"ro",2,1,0,NA,NA,NA
"m0085",5,13,13,144,"ro",2,1,1,52.2000000000698,0.0522000000000698,-2.36015348899889
"m0085",5,13,14,150,"ro",2,1,0,NA,NA,NA
"m0085",5,13,15,174,"ro",2,1,0,NA,NA,NA
"m0085",5,13,16,192,"ro",2,1,1,643.900000000023,0.643900000000023,1.10409484086437
"m0085",5,13,18,213,"ro",2,1,0,NA,NA,NA
"m0085",5,14,1,3,"se",2,3,1,617.600000000093,0.617600000000093,0.950115237898056
"m0085",5,14,2,18,"se",2,3,1,659.5,0.6595,1.1954287498483
"m0085",5,14,3,24,"se",2,3,1,535.29999999993,0.53529999999993,0.468270320628606
"m0085",5,14,4,33,"se",2,3,1,381.400000000023,0.381400000000023,-0.432773819925182
"m0085",5,14,5,45,"se",2,3,1,581.20000000007,0.58120000000007,0.73700278360177
"m0085",5,14,6,66,"se",2,3,1,323.100000000093,0.323100000000093,-0.774105031063937
