"subject","subjID","block","code","stream_pos","target_syll","sequence_file","tgt_word","tgt_pos","detect","rt"
1,"m0085",6,0,0,"za","cue_linfade_exp_seq_A_19.wav",4,1,NA,NA
1,"m0085",6,14,156,"za","cue_linfade_exp_seq_A_19.wav",4,1,1,615.799999999988
1,"m0085",6,0,0,"za","cue_linfade_exp_seq_A_19.wav",4,1,NA,NA
1,"m0085",6,0,0,"za","cue_linfade_exp_seq_A_19.wav",4,1,2,NA
1,"m0085",6,15,177,"za","cue_linfade_exp_seq_A_19.wav",4,1,1,685.700000000012
1,"m0085",6,0,0,"za","cue_linfade_exp_seq_A_19.wav",4,1,NA,NA
1,"m0085",6,16,192,"za","cue_linfade_exp_seq_A_19.wav",4,1,1,647.599999999977
1,"m0085",6,0,0,"za","cue_linfade_exp_seq_A_19.wav",4,1,NA,NA
1,"m0085",6,17,201,"za","cue_linfade_exp_seq_A_19.wav",4,1,0,NA
1,"m0085",6,18,216,"za","cue_linfade_exp_seq_A_19.wav",4,1,0,NA
1,"m0085",7,1,3,"la","cue_linfade_exp_seq_A_11.wav",3,3,0,NA
1,"m0085",7,2,15,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,469.099999999977
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,3,21,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,713
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,4,27,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,405.099999999977
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,5,60,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,562.899999999965
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,6,72,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,738.700000000012
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,7,78,"la","cue_linfade_exp_seq_A_11.wav",3,3,0,NA
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,2,NA
1,"m0085",7,8,102,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,1158.59999999998
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,9,108,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,618.400000000023
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,10,120,"la","cue_linfade_exp_seq_A_11.wav",3,3,0,NA
1,"m0085",7,11,129,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,496.299999999988
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,12,135,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,652.299999999988
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,13,141,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,584.200000000012
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,14,159,"la","cue_linfade_exp_seq_A_11.wav",3,3,0,NA
1,"m0085",7,15,165,"la","cue_linfade_exp_seq_A_11.wav",3,3,0,NA
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,2,NA
1,"m0085",7,16,177,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,648
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,17,204,"la","cue_linfade_exp_seq_A_11.wav",3,3,1,625.799999999988
1,"m0085",7,0,0,"la","cue_linfade_exp_seq_A_11.wav",3,3,NA,NA
1,"m0085",7,18,216,"la","cue_linfade_exp_seq_A_11.wav",3,3,0,NA
1,"m0085",8,1,5,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,527.599999999977
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,2,20,"ga","cue_linfade_exp_seq_A_13.wav",1,2,0,NA
1,"m0085",8,3,32,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,785.399999999965
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,4,59,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,923.199999999953
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,5,68,"ga","cue_linfade_exp_seq_A_13.wav",1,2,0,NA
1,"m0085",8,6,74,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,845
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,7,86,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,341.099999999977
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,8,92,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,513
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,9,104,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,416.900000000023
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,2,NA
1,"m0085",8,10,125,"ga","cue_linfade_exp_seq_A_13.wav",1,2,0,NA
1,"m0085",8,11,134,"ga","cue_linfade_exp_seq_A_13.wav",1,2,0,NA
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,2,NA
1,"m0085",8,12,155,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,386.599999999977
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,13,167,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,466.5
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,14,173,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,950.300000000047
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,15,185,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,702.29999999993
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,16,194,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,452.29999999993
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,17,200,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,336.099999999977
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",8,18,212,"ga","cue_linfade_exp_seq_A_13.wav",1,2,1,528.199999999953
1,"m0085",8,0,0,"ga","cue_linfade_exp_seq_A_13.wav",1,2,NA,NA
1,"m0085",9,1,17,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,2,23,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,3,41,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,4,56,"za","cue_linfade_exp_seq_A_21.wav",4,1,1,879.599999999977
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,NA,NA
1,"m0085",9,5,65,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,6,74,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,7,83,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,8,95,"za","cue_linfade_exp_seq_A_21.wav",4,1,1,761.29999999993
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,NA,NA
1,"m0085",9,9,104,"za","cue_linfade_exp_seq_A_21.wav",4,1,1,343.199999999953
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,NA,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,10,122,"za","cue_linfade_exp_seq_A_21.wav",4,1,1,691.099999999977
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,NA,NA
1,"m0085",9,11,128,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,12,134,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,13,140,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,14,146,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,15,161,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,16,191,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,17,197,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
1,"m0085",9,0,0,"za","cue_linfade_exp_seq_A_21.wav",4,1,2,NA
1,"m0085",9,18,206,"za","cue_linfade_exp_seq_A_21.wav",4,1,0,NA
