data,test,n,w,CI.low,CI.hi,p
diss,ordinal position,468,2051469882.5,-0.032327412165918216,-0.025234789847269973,9.180340449946089e-57
diss,transitional probability,239,504377533,-0.06271373050120609,-0.05253473024440522,5.224970727315636e-108
diss,word identity,468,2182159612.5,-0.0024336399796994097,0.004593737820197971,0.548811987735613
diss,duplet identity,156,244371025.5,-0.0017538914192693524,0.01041828789373298,0.16457729577568025
diss,ordinal position,468,2042141078,-0.034539357269432816,-0.02742100181579221,3.7386552079022774e-65
diss,transitional probability,239,498911357,-0.06703532904813757,-0.05696480157388387,1.2994659546889504e-125
diss,word identity,468,2177904856.5,-0.0031793659950216033,0.0038372939420959363,0.8535120759057409
diss,duplet identity,156,243345856.5,-0.0038423032707657692,0.008519039862884855,0.4574421814361862
diss,ordinal position,468,2068225275,-0.028973379536427736,-0.021851765099669632,1.3995915352978825e-44
diss,transitional probability,239,503235744,-0.06412576595172541,-0.053886275743529825,1.3186175735345682e-111
diss,word identity,468,2179943047,-0.0029590468352744623,0.004038673734945496,0.7627827897203157
diss,duplet identity,156,241533987,-0.007516458509577221,0.004554808678744445,0.6323624613165513
diss,ordinal position,468,2049275066.5,-0.03281018842003799,-0.025736963560577746,5.290512907746742e-59
diss,transitional probability,239,503831519,-0.06309097927389777,-0.052922994835652805,1.7835211071818125e-109
diss,word identity,468,2189613934.5,-0.0010582565645470277,0.0059794215922886924,0.17287742266248218
diss,duplet identity,156,245763199,0.0013968160784059097,0.013624593388145293,0.016075332852903943
diss,ordinal position,468,2057018287,-0.03127243685414582,-0.02416254359841654,2.3973962992486756e-52
diss,transitional probability,239,502445214,-0.06419076082086254,-0.05406015023877993,2.1413637972186374e-114
diss,word identity,468,2174372711.5,-0.004407411898567384,0.002608293938438422,0.6173928629493515
diss,duplet identity,156,247396829.5,0.004948213999857911,0.017179111059444793,3.875329912003639e-4
diss,ordinal position,468,2046379831,-0.03347796000218098,-0.026384407236236338,3.089802843268087e-61
diss,transitional probability,239,506696221,-0.060310232010650555,-0.0501863012691181,2.0551472631632812e-100
diss,word identity,468,2167926681.5,-0.005313603295654426,0.001712792652211777,0.31735611291418075
diss,duplet identity,156,246872578.5,0.0034555171638991295,0.015581849846022617,0.002086259195933342
diss,ordinal position,468,2047753422.5,-0.03322551338345489,-0.026117823815802157,5.26485863806673e-60
diss,transitional probability,239,499019542,-0.06715222584374891,-0.057058662781861946,7.770521630590257e-126
diss,word identity,468,2178611722.5,-0.0031467647803820314,0.00387107553674732,0.8395504262857134
diss,duplet identity,156,248188381,0.005866975974905838,0.01815556408637506,1.2908298625249326e-4
diss,ordinal position,468,2070678771,-0.0281640893891835,-0.02105027599548409,4.568162676876984e-42
diss,transitional probability,239,501256332,-0.06602762452183494,-0.05577335157439052,2.115595366729341e-118
diss,word identity,468,2174001706,-0.004333279495467437,0.0026749000589487964,0.6457364417890099
diss,duplet identity,156,247113632.5,0.003956916161063409,0.01616189587933755,0.0012386359676955661
diss,ordinal position,468,2072525884.5,-0.027739387081802333,-0.020612994056921907,1.9761263306639337e-40
diss,transitional probability,239,503876413,-0.0632130594212059,-0.053049741742900294,4.9625555081523934e-110
diss,word identity,468,2184474762.5,-0.001986640658890206,0.005007832898111802,0.4003063885937353
diss,duplet identity,156,244598455,-0.001103720155556087,0.011182853585239265,0.10685766418494294
diss,ordinal position,468,2055118001,-0.03153578675880796,-0.02444842166589566,8.85529467688349e-54
diss,transitional probability,239,500127268,-0.06644198081750917,-0.05631231980367649,5.59050495463584e-122
diss,word identity,468,2170407095.5,-0.0048147670836997565,0.002205166928284758,0.47089029863003745
diss,duplet identity,156,245751824.5,0.0017555565303401146,0.014083524502322814,0.011759001280932792
diss,ordinal position,468,2050171521.5,-0.03255267265509858,-0.02547347126688969,5.673152140829626e-58
diss,transitional probability,239,498308428,-0.068128401699115,-0.0579923701836644,1.1346247818413582e-128
diss,word identity,468,2165099171,-0.0060715755060002305,9.040316819625433e-4,0.14838222116264582
diss,duplet identity,156,248549054.5,0.006459610107311334,0.01856348804057005,5.2151722581228734e-5
diss,ordinal position,468,2054381354,-0.03163183180697426,-0.024541795416689317,3.3660531556983616e-54
diss,transitional probability,239,504284643,-0.062484226640814836,-0.05236292154112827,2.6421419951962622e-108
diss,word identity,468,2172116996,-0.004901611413232207,0.0021216260677468513,0.4392113696466263
diss,duplet identity,156,244479129,-6.654802142817516e-4,0.011614778478211525,0.08097335999215798
diss,ordinal position,468,2055359074,-0.031125793202549948,-0.024084415347693785,4.8848719436468755e-53
diss,transitional probability,239,504574039,-0.062158603585446906,-0.05209270638816753,3.0317840556805025e-107
diss,word identity,468,2174518877.5,-0.0040409189180548866,0.002978606380975751,0.7680643269451249
diss,duplet identity,156,246340325,0.002257541418109393,0.014341396616000633,0.007103684011164792
diss,ordinal position,468,2050476153,-0.03230475013920544,-0.025220320627378192,8.222910382239297e-57
diss,transitional probability,239,502241336,-0.06467441834913552,-0.05454593815125551,3.886270410829874e-115
diss,word identity,468,2162837016,-0.006527536117153471,5.368454373410169e-4,0.0984422051924115
diss,duplet identity,156,244232939,-0.0020503510559539903,0.010181187604716525,0.1926695833747755
diss,ordinal position,468,2063408638,-0.02980877509360471,-0.022646252143883282,6.415036691266603e-47
diss,transitional probability,239,506930343,-0.060333575859149675,-0.05019446859767855,5.786573395265434e-100
diss,word identity,468,2184820245,-0.0020625294715445955,0.004985631924295231,0.4184171302023356
diss,duplet identity,156,247406769,0.004243678403300775,0.016516519462206402,9.162432029234395e-4
diss,ordinal position,468,2059445479,-0.030734464839314506,-0.023620893348535257,1.9080722044814478e-50
diss,transitional probability,239,500118267,-0.06603146390777062,-0.055959773726332596,4.400518130189034e-122
diss,word identity,468,2187665337,-9.206403523898538e-4,0.006118279372177994,0.1500619717668655
diss,duplet identity,156,246561963,0.002358667888589912,0.014588101458883486,0.0064820298524619815
diss,ordinal position,468,2059414199,-0.030490209827207633,-0.023391263454045567,9.906373254943786e-50
diss,transitional probability,239,501487600,-0.06561821380586819,-0.05538025366403023,2.8631198610063675e-117
diss,word identity,468,2181996559.5,-0.0025409601260186643,0.004541902211347204,0.5814045722721484
diss,duplet identity,156,246676169,0.0029686673857919933,0.015257513087094058,0.0035700452061226892
diss,ordinal position,468,2044920450.5,-0.033799946357014575,-0.026709398697186963,1.2344038565069015e-62
diss,transitional probability,239,500227162,-0.0663010026529063,-0.05617796691026319,1.028812818782605e-121
diss,word identity,468,2178952881.5,-0.0033757619159948734,0.003664128405356081,0.9366869984011877
diss,duplet identity,156,244858760.5,-2.050421365400873e-4,0.012055040052272615,0.05932736623000544
diss,ordinal position,468,2055440606,-0.03138622516342588,-0.02431869999554285,1.3725526015343247e-53
diss,transitional probability,239,501441914,-0.06521661763745219,-0.055117466542920275,7.441679275119426e-118
diss,word identity,468,2176515782,-0.0034137324213257252,0.003621052362477395,0.9557410167796511
diss,duplet identity,156,245988652,0.0019972087507984762,0.01417885132402415,0.009075320966023231
diss,ordinal position,468,2053903252.5,-0.03149016770102356,-0.024412443586205975,9.473883683812312e-54
diss,transitional probability,239,501304009,-0.06513643338079218,-0.055054484972792875,3.051329532711128e-118
